TSFC (g/(kNs)),Mach Number,Thrust (N)
14.1628,0.386360984,97633.70132
14.1628,0.400530431,92781.90527
14.1628,0.420144551,87318.08956
14.1628,0.435403918,82102.36773
14.1628,0.445213194,78827.03572
14.1628,0.45338636,76399.49469
14.1628,0.459927355,73853.65724
15.57908,0.457678072,91608.79914
15.57908,0.488722312,85765.44911
15.57908,0.527393526,77978.42324
15.57908,0.556811505,70567.64569
15.57908,0.582963173,63403.31901
15.57908,0.596043193,58794.68781
15.57908,0.612941133,52127.37038
15.57908,0.622756812,47282.14635
15.57908,0.629852863,42078.74706
15.57908,0.630410382,38817.3806
15.57908,0.628246796,35560.12165
15.57908,0.624450546,32305.32721
15.57908,0.621195563,29774.27681
15.57908,0.616309886,26762.64723
16.99536,0.577442654,82612.52102
16.99536,0.599227255,78715.31133
16.99536,0.624820912,74933.11203
16.99536,0.649327604,70790.27297
16.99536,0.68527131,64577.24664
16.99536,0.723395841,57394.84689
16.99536,0.753896352,51431.55743
16.99536,0.776231577,45963.63421
16.99536,0.786583105,43170.5244
16.99536,0.795305909,39413.79169
16.99536,0.800221136,35179.76581
16.99536,0.801325338,31313.77322
16.99536,0.800792445,28537.09347
16.99536,0.799712868,26365.03983
18.41164,0.927061083,26052.04723
18.41164,0.92922073,30275.39358
18.41164,0.930834677,34861.8442
18.41164,0.930816455,39329.9984
18.41164,0.931347871,42468.96093
18.41164,0.926441016,44650.0511
18.41164,0.918815026,46352.20508
18.41164,0.904113178,48306.56045
18.41164,0.876344608,51609.00206
18.41164,0.825710381,56998.8825
18.41164,0.808831156,59077.2848
18.41164,0.764185823,63854.32409
18.41164,0.722262088,68506.49495
18.41164,0.677072534,73284.35574
18.41164,0.64985114,75861.4103
18.41164,0.631884458,77699.93376
19.82792,0.973761158,51220.43119
19.82792,0.959060788,52812.50379
19.82792,0.91823042,56255.42239
19.82792,0.833850056,62783.08433
19.82792,0.793019688,66226.00293
19.82792,0.748924486,69553.08962
19.82792,0.711361414,72508.03551
19.82792,0.673252644,75826.08567
21.2442,0.975374121,56048.40366
21.2442,0.963942032,56910.98169
21.2442,0.928013101,59501.18029
21.2442,0.90133839,61473.60873
21.2442,0.874118473,63688.38051
21.2442,0.843633229,65908.08131
21.2442,0.81641479,67760.57032
21.2442,0.796273194,69119.3361
