Altitude (m),Velocity (m/s),Thrust (N),Mach Number
0,-0.18464666,36674.15568,-0.0005426092334779769
0,10.38474582,35892.62569,0.030516982918910227
0,17.95477898,35415.94517,0.05276255124032188
0,25.52481215,34978.195510000005,0.07500811959111987
0,33.09484532,34618.30755,0.09725368794191788
0,40.66487849,34269.542689999995,0.11949925629271589
0,48.23491166,33948.58558,0.1417448246435139
0,56.21785573,33666.04059,0.16520378763109383
0,63.37497799,33434.58703,0.18623596131572354
0,70.94501116,33191.491630000004,0.2084815296665216
0,78.51504433,33004.01173,0.23072709801731955
0,86.0850775,32822.093389999995,0.25297266636811755
0,92.62283342,32702.64895,0.2721847481269607
0,102.6015135,32551.073910000003,0.30150845183939584
0,110.1715467,32447.01727,0.3237540202783529
0,117.7415798,32409.699230000002,0.3459995884234464
0,125.311613,32322.32724,0.3682451568624035
0,131.8493689,32286.306060000003,0.38745723856247394
0,141.1398642,32280.1959,0.41475861803699976
0,148.70989730000002,32265.124060000002,0.4370041861820933
0,156.2799305,32250.05223,0.45924975462105033
0,163.8499637,32246.103489999998,0.48149532306000736
0,171.4199968,32236.593210000003,0.5037408912051009
0,178.30184519999997,32234.744939999997,0.5239641353473758
0,189.3128025,32247.48365,0.5563213255636069
0,196.8828357,32326.958169999998,0.5785668940025639
0,204.4528689,32317.447889999996,0.6008124624415211
0,212.022902,32330.183810000002,0.6230580305866146
0,219.5929352,32420.781430000003,0.6453035990255717
0,227.16296839999998,32433.51734,0.6675491674645286
0,241.6148499,32476.5384,0.7100179797518972
0,249.184883,32500.397419999998,0.7322635478969908
0,256.7549162,32490.887130000003,0.7545091163359479
0,264.3249494,32386.830489999997,0.7767546847749048
0,271.8949825,32338.38935,0.7990002529199984
0,279.4650157,32223.20961,0.8212458213589554
0,284.97049439999995,32130.645160000004,0.8374244166140026
0,298.04600619999997,31921.788660000002,0.8758485800141435
0,305.6160394,31728.747219999997,0.8980941484531005
0,313.1860725,31468.96717,0.9203397165981942
0,320.7561057,31187.09925,0.9425852850371511
0,325.2293071,31012.16892,0.9557303935533119
4572,47.65938342,22203.63091,0.14788710611525122
