Altitude (m),TAS (m/s),Thrust (N),Mach Number
0,-0.094431845,3534.0763869999996,-0.0002775007738096163
0,12.86235998,3364.2378689999996,0.037797787891021735
0,22.70130937,3238.501698,0.06671087403477602
0,32.54025877,3114.166921,0.09562396020791666
0,42.37920816,2984.226568,0.12453704635167094
0,52.21815756,2861.993882,0.1534501325248116
0,62.05710696,2739.761195,0.18236321869795222
0,71.89605635,2620.3312960000003,0.21127630484170648
0,81.73500575,2500.901398,0.24018939101484715
0,91.57395514,2390.580559,0.2691024771586014
0,101.41290450000001,2276.7562359999997,0.2980155632141967
0,111.25185390000001,2166.4353969999997,0.32692864938733734
0,121.0908033,2053.31177,0.35584173556047793
0,130.9297527,1949.9979010000002,0.3847548217336186
0,140.76870209999998,1838.275668,0.41366790790675917
0,150.6076515,1737.06389,0.44258099407989987
0,160.44660090000002,1630.947233,0.47149408025304057
0,170.2855503,1528.33406,0.5004071664261812
0,180.1244997,1424.3194939999998,0.5293202525993218
0,189.9634491,1318.903534,0.5582333387724624
0,197.46547560000002,1237.858232,0.5802790603072927
0,217.6913974,1016.280316,0.6397156725064166
0,228.2970182,909.4295950999999,0.6708817264867382
0,237.36929619999998,825.7686062000001,0.6975418448526979
0,246.60626150000002,733.3702859,0.7246859191679099
0,257.3368567,631.6448027,0.7562192273589947
3048,0.521364581,2752.954872,0.0015876525679262826
3048,15.54570981,2609.820842,0.0473395911412772
3048,25.02687923,2521.1437530000003,0.07621152361458639
3048,35.2236086,2429.819587,0.10726246984050548
3048,45.062558,2344.723838,0.13722390920534558
3048,54.90150739,2261.029482,0.16718534853973377
3048,64.74045679,2178.7365210000003,0.19714678790457385
3048,74.57940619,2098.54565,0.22710822726941396
3048,84.41835558,2023.2596579999997,0.25706966660380215
3048,94.25730498,1944.470181,0.28703110596864223
3048,104.0962544,1867.082098,0.3169925453943861
3048,113.9352038,1793.1974989999999,0.3469539847592261
3048,123.77415320000001,1720.714295,0.37691542412406626
3048,133.6131026,1648.23109,0.4068768634889063
3048,143.452052,1576.448583,0.4368383028537464
3048,153.2910014,1505.366772,0.46679974221858644
3048,163.1299507,1437.788446,0.49676118127890784
3048,172.96890009999998,1366.706635,0.5267226206437479
3048,182.8078495,1304.033188,0.556684060008588
3048,192.199574,1240.3164800000002,0.5852836159874035
3048,236.47484619999997,959.7574301000001,0.7201100928246651
3048,252.57494530000002,864.4626478,0.7691379029435552
3048,262.41389469999996,807.3947757,0.7990993423083951
3048,270.46394419999996,760.0476832,0.8236132472155807
3048,284.7751433,671.0702954,0.8671935225722978
3048,291.0362929,634.244779,0.8862598930218288
6096,1.0016141729999999,2104.069861,0.0031693454723428524
6096,14.65125987,1991.261165,0.04636007095828409
6096,24.49020926,1920.880051,0.07749284697363204
6096,34.32915866,1853.301725,0.10862562302062236
6096,44.16810805,1789.2268829999998,0.13975839903597032
6096,54.00705745,1733.5604050000002,0.17089117508296064
6096,63.84600685,1679.996018,0.20202395112995097
6096,73.68495624,1627.833024,0.23315672714529895
6096,83.52390564,1579.173515,0.2642895031922892
6096,93.36285503,1532.616097,0.2954222792076372
6096,103.20180440000001,1488.16077,0.32655505515970046
6096,113.04075379999999,1445.106836,0.3576878312066907
6096,122.87970320000001,1404.1549929999999,0.38882060725368106
6096,132.71865259999998,1362.502454,0.41995338330067133
6096,142.557602,1320.8499140000001,0.4510861593476617
6096,152.3965514,1283.401556,0.482218935394652
6096,162.2355008,1248.0552890000001,0.5133517114416424
6096,172.07445019999997,1212.0083240000001,0.5444844874886327
6096,181.9133996,1178.764148,0.575617263535623
6096,191.752349,1143.417881,0.6067500395826134
6096,205.0847461,1100.0741369999998,0.6489369150516389
6096,240.76672050000002,992.3644499,0.7618431688341456
6096,253.9309441,954.2499356000001,0.803497903349937
6096,291.69148010000004,846.1784015000001,0.9229812204104269
6096,307.2806923,825.5531422,0.9723091956281477
6096,274.0237064,891.0473866000001,0.8670761822311466
6096,224.83108149999998,1036.931896,0.7114190168253258
9144,58.57169825,1285.0310060000002,0.19319526453713462
9144,71.89605635,1233.652074,0.237144867584832
9144,81.73500575,1197.60511,0.2695980572462822
