Altitude (m),TAS (m/s),BSFC (g/(kWh)),Mach Number
3048,25.29361749,326.6428841,0.07702379145725595
3048,38.77680409,325.3142867,0.11808261403446366
3048,48.49576629999999,324.5064343,0.14767866998573087
3048,58.21472850000001,323.3620744,0.17727472590654628
3048,67.93369071,322.31385960000006,0.20687078185781346
3048,77.65265292,321.12142719999997,0.2364668378090807
3048,87.37161513,319.73670489999995,0.2660628937603479
3048,97.09057734,318.35198260000004,0.29565894971161516
3048,106.8095395,316.4865354,0.3252550055106231
3048,116.52850179999999,315.00566810000004,0.3548510617359571
3048,126.247464,313.23636580000004,0.3844471176567725
3048,135.9664262,311.3228461,0.41404317357758785
3048,145.6853884,309.6016163,0.4436392294984032
3048,155.40435060000001,307.832314,0.4732352854192186
3048,165.1233128,305.8226493,0.5028313413400339
3048,174.842275,303.57262210000005,0.5324273972608493
3048,180.1435271,302.1574148,0.5485707004627014
9144,11.4991474,306.0496678,0.037929254064176014
9144,24.64013178,305.9492793,0.0812740097981871
9144,34.35909399,304.9972094,0.11333142884676939
9144,44.078056200000006,304.7662269,0.1453888478953517
9144,53.79701841,304.05451949999997,0.17744626694393398
9144,63.51598062,303.19859460000004,0.2095036859925163
9144,73.23494283,302.1503798,0.24156110504109857
9144,82.95390503,301.1021649,0.2736185240566965
9144,92.67286724,300.19816749999995,0.3056759431052788
9144,102.3918294,299.0057352,0.33773336198893905
9144,112.11079170000001,297.81330289999994,0.36979078133438104
9144,121.82975390000001,296.38050810000004,0.4018482003499789
9144,131.54871609999998,294.9957857,0.4339056193655767
9144,141.2676783,293.5149184,0.4659630383811747
9144,150.9866405,292.03405110000006,0.49802045739677253
9144,160.7056027,290.36089389999995,0.5300778764123704
9144,170.4245649,288.68773660000005,0.5621352954279684
9144,180.1435271,287.0626518,0.5941927144435663
9144,189.86248930000002,285.4856395,0.6262501334591642
9144,199.5814515,283.5240473,0.658307552474762
9144,209.30041369999998,281.947035,0.6903649714903599
9144,219.0193759,280.1296602,0.7224223905059578
9144,228.7383382,278.3122855,0.7544798098513997
9144,238.4573004,277.0237081,0.7865372288669977
9144,248.17626260000003,275.7832033,0.8185946478825956
9144,257.8952248,274.5426985,0.8506520668981934
9144,267.614187,273.39833860000005,0.8827094859137914
9144,277.33314920000004,271.96554380000003,0.9147669049293894
9144,287.05211139999994,270.96540150000004,0.946824323944987
9144,296.7710736,270.0133316,0.978881742960585
9144,305.99219189999997,269.5189344,1.0092970534693033
