JMX57,"Efficiency Map, likely including controller performance","Chin, JC., Tallerico, TT., Smith AD., ""X-57 Mod 2 Motor Thermal Analysis"", Figure 8, https://ntrs.nasa.gov/citations/20190032520"
YASA_750R,"Efficiency Map, including controller","YASA limited, ""YASA 750 Datasheet"", Combined Motor AND controller Efficiency, https://www.yasa.com/wp-content/uploads/2018/01/YASA-750-Product-Sheet.pdf"
