Efficiency,Speed (RPM),Torque (Nm)
0.88,529.7062591,625.0400733
0.9,249.5335939,44.67177301
0.9,251.7093398,257.9271645
0.9,281.2255126,274.9542027
0.9,296.365815,284.6672037
0.9,291.75081,44.83405235
0.9,311.5065589,294.5476673
0.9,326.6484068,304.8467875
0.9,338.0555273,45.19607074
0.9,340.2790062,315.2296224
0.9,352.3972533,325.2775153
0.9,371.3078499,45.19643772
0.9,364.5146724,335.0114157
0.9,376.6334714,345.2686369
0.9,387.2405253,355.4211772
0.9,404.56228,45.99605829
0.9,396.3339941,364.7712757
0.9,405.4252552,373.2840609
0.9,414.5198279,383.052816
0.9,423.6151917,393.1216083
0.9,437.814703,46.03448497
0.9,432.7115491,403.5671917
0.9,441.8090655,414.4523645
0.9,450.9043742,424.500224
0.9,458.4904214,435.3853801
0.9,471.0670256,46.03485195
0.9,466.0753647,445.8518796
0.9,475.1761928,457.9930224
0.9,482.763344,469.2968351
0.9,490.351231,480.8797523
0.9,489.2046562,46.03505212
0.9,497.9392232,492.5025416
0.9,508.5449981,502.1700383
0.9,523.6845057,511.5816065
0.9,538.8250288,521.3783388
0.9,553.965552,531.175071
0.9,569.1056336,540.8043406
0.9,576.8724796,47.02557168
0.9,584.243949,549.7637596
0.9,599.3822644,558.7231786
0.9,610.1266087,47.71101317
0.9,614.5196966,567.3476722
0.9,629.6569081,575.8884346
0.9,643.379132,47.78749954
0.9,644.7963274,585.2665102
0.9,658.4268716,595.6284122
0.9,676.6331607,48.43488133
0.9,670.5445667,605.4669768
0.9,682.6614339,614.9915489
0.9,694.3674812,625.210228
0.9,709.8857844,48.54942739
0.9,743.1398131,49.19680918
0.9,776.3926375,49.38747464
0.9,809.6449601,49.38784162
0.9,845.922429,50.22555525
0.9,879.1747516,50.22592223
0.9,909.4041359,50.22625584
0.9,945.6816047,51.06396947
0.9,978.9339274,51.06433645
0.9,1012.18635,51.10276313
0.9,1045.440178,51.67402553
0.9,1078.693103,51.90275068
0.9,1111.945426,51.90311766
0.9,1142.17481,51.90345128
0.9,1178.452279,52.74116491
0.9,1211.704602,52.74153189
0.9,1244.956924,52.74189887
0.9,1277.202337,53.02135915
0.9,1311.463777,53.57994611
0.9,1344.7161,53.58031309
0.9,1367.388138,53.58056331
0.9,1468.658783,54.41899421
0.9,1501.911005,54.3813015
0.9,1535.164833,54.9525639
0.9,1568.417959,55.25740844
0.9,1601.670281,55.25777542
0.9,1634.318679,55.50932971
0.9,1668.177135,56.09582266
0.9,1701.429457,56.09618964
0.9,1734.68178,56.09655662
0.9,1773.377158,56.76683429
0.9,1801.188633,56.93460387
0.9,1834.440956,56.93497085
0.9,1867.693278,56.93533783
0.9,1900.945601,56.93570481
0.9,1934.199529,57.54502691
0.9,1967.452454,57.77375206
0.9,2000.704877,57.81217873
0.9,2033.957099,57.77448602
0.9,2067.209422,57.774853
0.9,2105.501815,58.47303665
0.9,2133.716275,58.61290024
0.9,2166.968598,58.61326722
0.9,2200.22092,58.6136342
0.9,2233.473243,58.61400118
0.9,2257.65675,58.61426808
0.9,2351.370049,59.45261558
0.9,2384.622372,59.45298256
0.9,2417.874695,59.45334954
0.9,2451.128021,59.83431347
0.9,2484.381247,60.1772177
0.9,2517.63387,60.29176377
0.9,2550.886193,60.29213075
0.9,2584.138516,60.29249773
0.9,2616.383928,60.57195801
0.9,2650.645369,61.13054497
0.9,2683.897691,61.13091195
0.9,2717.150014,61.13127893
0.9,2750.402437,61.16970561
0.9,2783.656767,61.93126648
0.9,2816.90919,61.96969316
0.9,2850.161512,61.97006014
0.9,2883.413835,61.97042712
0.9,2916.666158,61.9707941
0.9,2960.455823,62.0550087
0.9,2998.421137,62.44750226
0.9,271.056637,266.9909527
0.92,264.3581879,183.4914979
0.92,274.6113527,59.42969602
0.92,282.5212079,193.1208009
0.92,299.1704038,201.856953
0.92,319.9532212,58.59288316
0.92,315.819894,210.7047469
0.92,333.9827301,220.2642737
0.92,353.2055439,58.59325014
