Efficiency,Speed (RPM),Torque (Nm)
0.55,2148.720466,11.14260367
0.55,2193.015784,11.14590048
0.55,2237.311101,11.14919728
0.55,2281.606419,11.15249409
0.55,2325.901716,11.68925193
0.55,2370.197029,11.81109563
0.55,2414.492346,11.81439244
0.55,2458.787664,11.81768925
0.55,2503.082985,11.72399314
0.55,2547.378299,11.82428286
0.55,2591.673623,11.67252162
0.55,2635.968946,11.52076037
0.55,2680.264266,11.46478373
0.55,2724.559607,10.87534605
0.55,2768.854925,10.87864286
0.55,2813.150242,10.88193966
0.55,2843.351595,10.88418748
0.55,2994.358364,10.78586052
0.55,3038.653677,10.8987234
0.55,3082.948995,10.90202021
0.55,3127.244312,10.90531701
0.55,3171.53963,10.90861382
0.55,3215.834947,10.91191062
0.55,3256.477048,10.67784173
0.55,406.3828355,791.6305499
0.6,186.6044849,190.8611899
0.6,206.5607275,302.1492327
0.6,186.2971795,176.6658337
0.6,185.6266652,160.6619527
0.6,185.627176,147.621794
0.6,185.6276868,134.5816353
0.6,184.9571571,118.9729106
0.6,191.4185491,101.9499159
0.6,193.6777124,228.2342833
0.6,195.6966774,86.76846948
0.6,199.7172554,246.8070801
0.6,203.7434756,262.8112109
0.6,207.7695951,281.3838578
0.6,209.7911781,73.08723078
0.6,223.8748801,335.0769221
0.6,219.8485264,322.4810146
0.6,229.9259919,58.31976174
0.6,229.9143438,355.674895
0.6,227.9030564,301.1431725
0.6,234.6117748,369.9008723
0.6,271.2461441,459.5991451
0.6,248.0336608,393.8335261
0.6,264.1546555,46.48558123
0.6,252.059642,415.9378827
0.6,260.1126666,433.0289931
0.6,268.1657687,448.1443219
0.6,292.7655007,500.0845121
0.6,308.4503763,36.19685198
0.6,297.9237439,516.9037371
0.6,308.4309034,533.3035066
0.6,312.45717,548.1221684
0.6,324.5369449,567.6833056
0.6,332.5901282,580.7240637
0.6,352.7459113,30.64999861
0.6,354.449374,600.6663002
0.6,360.77644,622.0199974
0.6,368.8296001,635.65349
0.6,380.9094447,653.4364236
0.6,397.0414019,26.23472926
0.6,390.9759431,669.2434258
0.6,403.0559677,682.4326673
0.6,416.5739449,700.9048794
0.6,441.3368314,23.38212354
0.6,429.2289546,721.2093296
0.6,441.3089927,734.0528092
0.6,455.4023673,749.119193
0.6,472.0258572,763.9684292
0.6,485.6321722,22.79268586
0.6,488.6227569,777.165416
0.6,515.362368,800.7119594
0.6,499.9468194,788.7423016
0.6,529.9275869,20.31727482
0.6,576.6390865,18.4347781
0.6,618.5183466,17.1446562
0.6,662.8137064,16.07025394
0.6,707.1090092,16.45074542
0.6,751.404376,15.19672665
0.6,795.6996823,15.48740987
0.6,839.995002,15.43682173
0.6,884.2903534,14.57795928
0.6,928.5856815,14.31183132
0.6,972.881016,13.8840485
0.6,1017.176346,13.56403559
0.6,1061.47166,13.6751023
0.6,1105.76704,12.06185051
0.6,1150.062362,11.95737741
0.6,1194.357642,12.93060338
0.6,1238.652966,12.77224532
0.6,1282.948292,12.56000231
0.6,1327.243609,12.56329912
0.6,1371.538948,12.0277464
0.6,1415.834268,11.97715825
0.6,1460.129585,11.98045505
0.6,1504.424903,11.98375186
0.6,1548.720221,11.98704867
0.6,1593.015551,11.66703575
0.6,1637.310889,11.13148303
0.6,1681.606218,10.86535507
0.6,1725.901527,11.08419168
0.6,1770.19683,11.46468316
0.6,1814.492126,12.0068295
0.6,1858.787444,12.01012631
0.6,1903.082765,11.90565321
0.6,1947.378113,11.15456067
0.6,1991.673443,10.83454775
0.6,2035.96876,10.83784456
0.6,2080.264078,10.84114137
0.6,2124.559396,10.84443817
0.6,2168.854688,11.49435442
0.6,2213.149984,12.03650075
0.6,2257.445302,12.03979756
0.6,2301.740619,12.04309436
0.6,2346.035937,12.04639117
0.6,2390.331255,12.04968798
0.6,2434.626572,12.05298478
0.6,2478.92189,12.05628159
0.6,2523.217207,12.05957839
0.6,2567.512525,12.0628752
0.6,2611.807843,12.06617201
0.6,2656.10316,12.06946881
0.6,2700.398478,12.07276562
0.6,2744.693795,12.07606242
0.6,2788.989104,12.29489904
0.6,2833.28443,12.08265603
0.6,2882.609341,12.08632718
0.6,2987.915362,11.97561799
0.6,3030.599936,12.09734181
0.6,3074.895254,12.10063861
0.6,3119.190571,12.10393542
0.6,3163.485889,12.10723222
0.6,3207.781206,12.11052903
0.6,3258.177483,12.11427992
0.6,191.076338,211.2663952
0.65,235.0658815,199.3909521
0.65,235.3892583,102.7470294
0.65,233.9481565,177.8548492
0.65,233.9486673,164.8146906
0.65,233.9491781,151.7745319
0.65,233.9496889,138.7343732
0.65,233.2791592,123.1256485
0.65,239.9868017,219.3467127
0.65,244.0130528,234.5605309
0.65,252.0659885,253.9237901
0.65,254.0861822,81.09244313
0.65,264.6479864,302.4054681
0.65,256.0923092,267.3594048
0.65,260.1185913,281.7829104
0.65,274.2209767,66.8189195
0.65,276.2243542,323.2755231
0.65,280.2505976,338.6869194
0.65,288.3036028,356.2719753
0.65,306.4362747,53.50454908
0.65,308.4361008,400.6248316
0.65,296.3564901,376.870098
0.65,318.5023784,422.0677509
0.65,328.5689156,436.8868623
0.65,332.595159,452.2982586
0.65,348.7185829,42.93546822
0.65,344.6749649,471.0690831
0.65,356.7550958,481.5416248
0.65,368.0290354,512.9969073
0.65,393.0141601,36.31091579
0.65,380.9141426,533.5064795
0.65,390.9806624,548.7701418
0.65,401.0471473,564.9229058
0.65,415.1404038,583.0023566
0.65,437.309655,31.78787653
0.65,435.2739154,601.4774132
0.65,443.3270744,615.1391312
0.65,453.3936281,629.5348609
0.65,466.4803702,642.5759936
0.65,481.6050824,28.98915577
0.65,477.5535959,657.9879144
0.65,489.633634,670.831394
0.65,513.981652,698.3860265
0.65,499.7003011,682.3340149
0.65,525.9005393,25.43604567
0.65,529.9003864,714.696743
0.65,543.9937861,729.1209978
0.65,570.1958991,24.36164341
0.65,560.1006344,742.9032734
0.65,578.2209412,755.7965971
0.65,600.3679305,772.8887565
0.65,614.4912821,22.69450667
0.65,620.5016627,785.7328356
0.65,643.3401118,800.5523138
0.65,658.7866736,20.81183011
0.65,703.0820228,20.00685262
0.65,747.3773615,19.47129989
0.65,791.6726875,19.25905689
0.65,835.968022,18.83127407
0.65,880.2634599,15.76312854
0.65,924.5588091,14.95815105
0.65,968.8541246,15.01533281
0.65,1013.149451,14.8030898
0.65,1057.444787,14.32142203
0.65,1101.740077,15.02522323
0.65,1146.035408,14.70521031
0.65,1190.33074,14.33131245
0.65,1234.626072,13.95741458
0.65,1278.921373,14.39179101
0.65,1323.216646,15.52667184
0.65,1367.511964,15.52996864
0.65,1411.807281,15.53326545
0.65,1456.10261,15.26713749
0.65,1500.397978,13.97719542
0.65,1544.693327,13.17221793
0.65,1588.988626,13.66047931
0.65,1633.283928,14.04097079
0.65,1677.579235,14.31369236
0.65,1721.874551,14.37087412
0.65,1766.169869,14.37417092
0.65,1810.465165,14.91631726
0.65,1854.76048,14.98427601
0.65,1899.055821,14.38406134
0.65,1943.351139,14.38735815
0.65,1987.646456,14.39065495
0.65,2031.941801,13.69344737
0.65,2076.237106,14.02005389
0.65,2120.532409,14.40054537
0.65,2164.827746,13.9188776
0.65,2209.123091,13.22167001
0.65,2253.418408,13.22496682
0.65,2297.713726,13.22826362
0.65,2342.009039,13.33933034
0.65,2386.304323,14.20478639
0.65,2430.599651,13.93865843
0.65,2474.89496,14.15749505
0.65,2519.190314,13.24474765
0.65,2563.485631,13.24804446
0.65,2607.780949,13.25134127
0.65,2652.076267,13.25463807
0.65,2696.371584,13.25793488
0.65,2740.666902,13.26123168
0.65,2784.962219,13.26452849
0.65,2829.257537,13.2678253
0.65,2859.458872,13.71462398
0.65,3006.438803,13.38878242
0.65,3050.734125,13.28430932
0.65,3095.029442,13.28760613
0.65,3139.32476,13.29090294
0.65,3183.620078,13.29419974
0.65,3227.915395,13.29749655
0.65,3259.940174,13.29988008
0.7,297.8050983,200.885057
0.7,306.2476115,102.3640947
0.7,294.3506765,182.6012208
0.7,294.3511873,169.5610621
0.7,294.3516982,156.5209034
0.7,294.352209,143.4807448
0.7,293.6817257,126.6865511
0.7,296.3666541,117.4005773
0.7,308.442923,226.4646216
0.7,339.2662631,301.2996447
0.7,312.4689652,247.0130501
0.7,322.5425221,82.62876894
0.7,322.5354249,263.8079431
0.7,328.5748751,284.7516778
0.7,348.7175664,68.8849221
0.7,350.7209163,326.047162
0.7,354.7471771,341.0140075
0.7,364.8136794,356.7222206
0.7,384.959704,55.76278446
0.7,374.8800173,376.6289697
0.7,385.3108567,400.9121021
0.7,401.9050333,421.8230544
0.7,411.5219974,436.063208
0.7,429.2553847,46.49786932
0.7,422.7964819,453.608988
0.7,453.6880929,498.9131372
0.7,438.9032246,470.0882055
0.7,445.3457078,482.1409529
0.7,473.5509371,40.50646509
0.7,476.8818431,527.7490744
0.7,487.5979185,540.5259215
0.7,503.9937976,562.4056777
0.7,517.8463955,36.91567512
0.7,519.838642,577.527355
0.7,546.9416032,598.3867869
0.7,529.9054403,585.6782035
0.7,562.1418778,32.71321173
0.7,558.0922242,614.9218694
0.7,576.2124942,628.7536894
0.7,588.2925168,641.9923253
0.7,606.4372587,31.09995994
0.7,607.2180943,657.4048306
0.7,620.5061149,672.0759981
0.7,650.9958438,696.8902721
0.7,632.5862555,682.3015671
0.7,650.7326734,28.6245489
0.7,670.8870691,711.5190037
0.7,695.0280733,26.52633253
0.7,690.9737267,728.5392027
0.7,711.1074883,740.6324847
0.7,739.3234515,24.98213176
0.7,731.2412081,753.7926889
0.7,755.4017637,767.2410923
0.7,783.6188131,23.86023247
0.7,781.5756725,782.4847843
0.7,817.320081,800.5652524
0.7,827.9141626,23.04918855
0.7,872.2095083,22.33649341
0.7,916.5048617,21.42374601
0.7,960.8001934,21.0678098
0.7,1005.095548,20.13710075
0.7,1049.390861,20.24816746
0.7,1093.686224,19.08395695
0.7,1137.981566,18.47655762
0.7,1182.27689,18.31045579
0.7,1226.572248,17.27848356
0.7,1270.867581,16.88538699
0.7,1315.162929,16.1188069
0.7,1359.458215,16.930378
0.7,1403.753518,17.31086948
0.7,1448.048835,17.31416629
0.7,1492.344178,16.67084366
0.7,1536.639482,17.0281038
0.7,1580.934817,16.58483343
0.7,1625.230176,15.54108479
0.7,1669.525467,16.21423237
0.7,1713.820776,16.44081276
0.7,1758.116085,16.66739316
0.7,1802.411405,16.58615139
0.7,1846.70674,16.15836857
0.7,1891.002051,16.32332024
0.7,1935.297372,16.2340132
0.7,1979.592694,16.14502766
0.7,2023.888013,16.09443951
0.7,2068.18333,16.12096765
0.7,2112.478645,16.17814941
0.7,2156.77398,15.73487903
0.7,2201.069311,15.40712234
0.7,2245.364627,15.44913803
0.7,2289.659945,15.45243484
0.7,2333.955271,15.23244806
0.7,2378.250589,15.23574486
0.7,2422.545897,15.46232526
0.7,2466.841217,15.42690318
0.7,2511.136538,15.32243008
0.7,2555.431871,14.94853221
0.7,2599.72718,15.17511261
0.7,2644.022497,15.19389697
0.7,2688.31782,15.03553891
0.7,2732.613138,15.03883572
0.7,2776.90845,15.18829983
0.7,2821.203771,15.09931428
0.7,2849.391703,15.0475273
0.7,3002.411884,15.22057112
0.7,3046.707205,15.15449542
0.7,3091.002526,15.06550988
0.7,3135.297843,15.06880668
0.7,3179.593161,15.07210349
0.7,3223.888478,15.07540029
0.7,3256.627158,15.07783696
0.7,494.9633102,551.8925897
0.75,392.6721399,200.9586104
0.75,400.0156781,103.3429336
0.75,383.6125303,180.6320827
0.75,382.9420083,164.8257798
0.75,382.9425191,151.7856212
0.75,382.9430299,138.7454625
0.75,384.9570416,123.7296721
0.75,397.0336975,222.9148083
0.75,406.6973642,242.4757656
0.75,416.0670369,87.68420205
0.75,435.2857075,300.4473262
0.75,417.1664003,262.0367829
0.75,421.1926514,277.250601
0.75,433.2728133,286.9328301
0.75,451.4020796,71.10473447
0.75,449.3789864,317.9538003
0.75,457.4321194,332.2788164
0.75,469.5120337,348.2835466
0.75,489.657523,60.98843655
0.75,479.5784954,365.0290451
0.75,491.2557609,380.1150069
0.75,509.1761653,404.8575172
0.75,497.6983145,390.369793
0.75,520.6135803,54.21677775
0.75,521.8581237,422.8731989
0.75,536.3542328,436.6652335
0.75,558.1144059,48.66285816
0.75,546.0180915,451.3262524
0.75,560.1115066,465.3553509
0.75,595.2165815,499.0845559
0.75,574.2049141,479.5820275
0.75,602.4098776,44.73255338
0.75,606.4183786,513.0739236
0.75,616.4851828,521.0765884
0.75,646.7053725,40.20951412
0.75,648.6985719,556.4948715
0.75,664.8054203,570.2771471
0.75,691.000802,37.35690841
0.75,684.9390944,584.6030624
0.75,709.0995697,600.1028917
0.75,735.2962567,33.85768326
0.75,731.2465299,617.9379449
0.75,751.3801986,632.4021649
0.75,779.5916208,32.6755111
0.75,769.5005761,643.4876485
0.75,787.6208237,657.8924451
0.75,807.7545853,669.9857272
0.75,823.8869785,31.65499379
0.75,844.4984875,697.4864027
0.75,828.6936745,683.1459912
0.75,868.1823826,29.44900752
0.75,872.1825742,709.9144831
0.75,896.3429961,726.7762844
0.75,912.4777318,28.64403003
0.75,926.5438352,739.8927827
0.75,956.7730832,27.78516758
0.75,956.7446869,752.6917447
0.75,988.9589587,765.5743568
0.75,1001.068449,26.54911047
0.75,1013.119535,778.4940035
0.75,1045.363824,25.09751354
0.75,1043.320383,791.3952827
0.75,1077.548288,798.9058004
0.75,1089.659169,24.40030595
0.75,1133.954486,24.40360276
0.75,1178.249851,23.20346894
0.75,1222.545194,22.55116548
0.75,1266.840509,22.63528972
0.75,1311.135826,22.63858652
0.75,1355.431182,21.67195417
0.75,1399.726508,21.45971117
0.75,1444.021826,21.46300797
0.75,1488.317143,21.46630478
0.75,1532.612484,20.8768671
0.75,1576.907848,19.69469494
0.75,1621.203166,19.69799174
0.75,1665.498483,19.70128855
0.75,1709.793801,19.70458535
0.75,1754.089118,19.70788216
0.75,1798.384436,19.71117896
0.75,1842.679758,19.60670586
0.75,1886.975132,18.15510893
0.75,1931.270448,18.21229069
0.75,1975.565739,18.89813024
0.75,2019.861063,18.73977219
0.75,2064.156388,18.54549083
0.75,2108.451705,18.54878764
0.75,2152.747023,18.55208444
0.75,2197.042341,18.55538125
0.75,2241.337629,19.3130674
0.75,2285.632976,18.56197486
0.75,2329.928293,18.56527167
0.75,2374.223611,18.56856847
0.75,2418.518929,18.57186528
0.75,2462.814246,18.57516208
0.75,2507.109553,18.84788365
0.75,2551.404881,18.58175569
0.75,2595.700199,18.5850525
0.75,2639.995516,18.58834931
0.75,2684.290834,18.59164611
0.75,2728.586152,18.59494292
0.75,2772.881469,18.59823972
0.75,2817.176787,18.60153653
0.75,2853.41841,18.60423392
0.75,3010.465433,18.93923231
0.75,3054.760763,18.6192194
0.75,3099.056081,18.6225162
0.75,3143.351398,18.62581301
0.75,3187.646716,18.62910982
0.75,3231.942029,18.74017653
0.8,519.8541928,180.5434338
0.8,517.841431,163.6503511
0.8,517.8421275,145.8683166
0.8,528.3099052,197.5555429
0.8,525.8964834,128.9759832
0.8,536.9667661,219.5169999
0.8,539.9911156,111.9359157
0.8,546.0264425,238.139416
0.8,558.1124509,98.57110178
0.8,558.106291,255.8235606
0.8,592.8721175,300.3997816
0.8,568.1728165,270.9390393
0.8,586.3009344,84.42660338
0.8,578.2394233,283.9799472
0.8,606.4259364,320.1388487
0.8,626.5698708,72.53898748
0.8,618.505959,333.3774847
0.8,632.5992871,349.6293375
0.8,648.7059207,368.8944071
0.8,670.8655324,63.75903692
0.8,664.8126646,385.3439879
0.8,679.5771009,402.4355978
0.8,701.0529878,418.5398164
0.8,715.1610927,57.56556411
0.8,717.1598768,431.2848067
0.8,733.2667716,443.8816133
0.8,759.4565771,53.31194961
0.8,749.3736606,456.6266036
0.8,795.1129263,494.0321377
0.8,763.4671358,469.1244713
0.8,777.5605974,481.9681008
0.8,803.7520762,48.68114045
0.8,811.5574828,503.8642766
0.8,831.9215373,520.1442477
0.8,848.0474951,46.0979595
0.8,852.0551875,535.0826552
0.8,870.1754733,548.50944
0.8,892.3429625,42.27542463
0.8,882.2557068,556.3640711
0.8,936.6383561,40.33886312
0.8,939.9725631,589.1663417
0.8,953.1712442,600.1109589
0.8,980.933737,38.72561133
0.8,988.9650548,609.9533291
0.8,1003.461265,621.1589715
0.8,1025.70909,634.0653039
0.8,1025.229105,37.43566926
0.8,1057.419943,648.5473208
0.8,1069.524461,36.46903691
0.8,1085.607335,662.2669883
0.8,1113.819854,34.5324754
0.8,1113.79473,675.9019794
0.8,1141.982157,688.7325452
0.8,1158.115202,33.78138287
0.8,1174.196406,702.2182411
0.8,1202.410561,32.70698061
0.8,1208.424005,717.5380356
0.8,1242.651678,731.0170602
0.8,1246.705879,32.71027741
0.8,1282.91965,743.7249319
0.8,1291.001258,31.15091058
0.8,1327.214428,757.5227767
0.8,1335.296584,30.93866757
0.8,1369.495807,770.6738522
0.8,1379.591948,29.75649541
0.8,1411.777253,782.1006092
0.8,1423.887274,29.5442524
0.8,1456.072082,794.5872535
0.8,1468.182596,29.4397793
0.8,1488.286669,799.4303161
0.8,1512.477957,28.31149209
0.8,1556.773288,27.99147918
0.8,1601.068605,27.99477598
0.8,1645.363935,27.67654442
0.8,1689.659308,26.27705109
0.8,1733.954632,26.11869304
0.8,1778.249969,25.63702527
0.8,1822.54528,25.80197693
0.8,1866.840625,25.10476935
0.8,1911.135968,24.46144671
0.8,1955.431285,24.46474352
0.8,1999.726603,24.46804032
0.8,2044.02192,24.47133713
0.8,2088.317238,24.47463394
0.8,2132.612556,24.47793074
0.8,2176.907852,25.02007708
0.8,2221.203168,25.07725884
0.8,2265.498485,25.08055564
0.8,2309.793803,25.08385245
0.8,2354.08912,25.08714926
0.8,2398.384438,25.09044606
0.8,2442.679753,25.14762782
0.8,2486.975067,25.25869453
0.8,2531.270391,25.10033648
0.8,2575.565708,25.10363329
0.8,2619.861026,25.10693009
0.8,2664.156343,25.1102269
0.8,2708.451661,25.1135237
0.8,2752.746979,25.11682051
0.8,2797.042296,25.12011732
0.8,2841.337609,25.23118403
0.8,2885.632921,25.37817404
0.8,2909.794014,25.12850918
0.8,3022.545742,24.86747629
0.8,3066.841049,25.14019786
0.8,3111.136366,25.14349467
0.8,3155.431684,25.14679147
0.8,3199.727001,25.15008828
0.8,3237.982048,25.15293552
0.82,602.4036966,202.523092
0.82,598.3783256,164.8418143
0.82,600.3910526,182.6239987
0.82,602.4060898,141.4291018
0.82,612.4739736,121.8696131
0.82,618.5103241,221.9434015
0.82,630.5954165,105.7604385
0.82,630.5902229,238.3432881
0.82,638.643321,253.5574059
0.82,656.7704289,92.82892017
0.82,652.7367033,268.4262116
0.82,679.715325,300.4299545
0.82,666.830074,283.5913845
0.82,695.0259498,80.73459542
0.82,695.0166489,318.1696607
0.82,707.0967102,330.4204059
0.82,721.190108,344.8940552
0.82,739.3216326,71.41579533
0.82,737.2968229,362.0845541
0.82,780.7931912,399.4004274
0.82,751.390209,376.8545707
0.82,761.4569822,385.6475481
0.82,783.6172457,63.87519869
0.82,799.7109078,414.279471
0.82,827.91273,59.6215842
0.82,819.8445393,429.6920661
0.82,839.9782684,442.6151765
0.82,858.0985601,455.8937776
0.82,872.2082333,54.88300512
0.82,878.2322768,469.133013
0.82,898.3659567,483.3107446
0.82,916.5037029,51.0065853
0.82,923.5467936,500.0447949
0.82,960.7991049,48.85448398
0.82,952.7269907,519.0863169
0.82,978.1288053,532.735919
0.82,1005.094503,46.81015257
0.82,997.0212846,545.2226185
0.82,1017.15502,557.9744944
0.82,1045.342384,572.4129701
0.82,1049.389926,44.11920171
0.82,1093.685322,42.12875525
0.82,1110.173405,603.4797168
0.82,1137.980683,41.00046804
0.82,1148.427919,617.0798931
0.82,1182.276064,39.38721625
0.82,1182.252842,632.2140753
0.82,1212.453694,645.0024527
0.82,1226.571424,38.31281399
0.82,1244.66796,658.0450091
0.82,1270.866775,37.45395155
0.82,1276.882208,671.5321163
0.82,1309.096485,684.2783054
0.82,1315.162127,36.59508911
0.82,1341.31078,696.5651253
0.82,1359.457457,36.27507619
0.82,1375.538542,707.7566339
0.82,1403.752821,35.09290403
0.82,1413.793028,722.0729212
0.82,1448.048189,33.80296196
0.82,1456.074439,734.4157225
0.82,1492.343546,32.79793221
0.82,1500.369304,745.9734928
0.82,1536.638867,32.73185651
0.82,1544.664196,756.8384566
0.82,1580.934184,32.73515331
0.82,1588.959098,767.4570892
0.82,1625.229517,32.36125545
0.82,1633.254001,778.0218368
0.82,1669.524863,31.63339424
0.82,1677.548905,788.5865844
0.82,1713.820207,30.96684028
0.82,1726.212474,800.5599396
0.82,1758.11551,31.34733175
0.82,1802.410819,31.56616837
0.82,1846.706216,29.52183696
0.82,1891.001547,29.20182404
0.82,1935.296864,29.20512085
0.82,1979.592173,29.42395747
0.82,2023.887499,29.21171446
0.82,2068.182817,29.21501127
0.82,2112.478124,29.48773284
0.82,2156.773471,28.7366403
0.82,2201.068816,28.03943272
0.82,2245.364134,28.04272952
0.82,2289.659451,28.04602633
0.82,2333.954769,28.04932313
0.82,2378.250086,28.06810749
0.82,2422.545408,27.94814684
0.82,2466.840722,28.05921355
0.82,2511.136034,28.20620356
0.82,2555.431359,28.01192221
0.82,2599.726671,28.14622025
0.82,2644.02198,28.37280065
0.82,2688.317294,28.46837981
0.82,2732.612625,28.14062312
0.82,2776.907933,28.38269107
