TAS (m/s),Thrust (N),Altitude (m),Mach Number
2.112619174,11397.27695,0,0.006208217742119012
15.21897272,11091.35937,0,0.04472301379251291
23.54178331,10920.117390000001,0,0.06918072060736831
31.86479278,10762.35946,0,0.09363901185805566
40.18793483,10613.59092,0,0.1180976927130401
48.51125367,10476.80821,0,0.14255689308939787
56.83483767,10358.00425,0,0.16701687267434975
65.15859846,10251.18612,0,0.19147737178067495
73.48260231,10160.84852,0,0.2159385851517494
81.80662827,10072.00915,0,0.2403998634960551
90.13083101,9995.155612999999,0,0.2648616613323478
98.45518843,9928.789681999999,0,0.28932391371678257
106.7797668,9877.406045,0,0.3137868153927351
115.1043894,9829.018866,0,0.3382498470445367
123.4290341,9782.129916,0,0.3627129436401832
131.7537893,9742.732114,0,0.3871763649550546
140.0786549,9710.825458,0,0.4116401106952872
148.4035206,9678.918802,0,0.43610385672938334
156.72856299999998,9658.997981,0,0.4605681220203756
163.91827,9634.847299,0,0.48169605037933566
174.1356046,9626.470934,0,0.5117210727409316
182.4606691,9608.048343,0,0.5361854029757689
190.7859104,9601.611585999999,0,0.5606502527613659
199.1111297,9593.6766,0,0.5851150378969814
207.43643730000002,9591.734531999999,0,0.6095800825141133
215.7617449,9589.792463,0,0.6340451271312452
224.0870525,9587.850395,0,0.658510171748377
232.41236009999997,9585.908326,0,0.6829752163655087
240.7377119,9586.962716,0,0.7074403908703306
249.0631963,9597.006483,0,0.7319059550382221
257.3887912,9614.541395999999,0,0.7563718439253386
265.7142977,9626.083392,0,0.780837473037075
274.0398042,9637.625387,0,0.8053031021488115
282.3653107,9649.167383,0,0.8297687312605482
288.0417673,9655.334392,0,0.8464497682454413
6.840343675,7478.073983,4572,0.021225592073123647
15.16392768,7359.2700239999995,4572,0.04705368011527992
23.48797573,7271.928881,4572,0.07288320808945445
31.81204589,7186.085968,4572,0.09871280467097725
39.50562452,7114.873065999999,4572,0.12258598551417245
48.46053975,7038.371812,4572,0.15037309486893485
56.78500766,6979.497028,4572,0.17620392566903614
65.10960815,6929.611620000001,4572,0.20203516786498696
71.54224428,6890.4054909999995,4572,0.2219956430892405
84.02945806,6836.802295,4572,0.26074347776206025
92.35434582,6806.393868000001,4572,0.28657561135705834
100.6792999,6780.48013,4572,0.31240795074307115
109.00456329999999,6775.541603,4572,0.33824124994929944
114.68073259999998,6762.231629999999,4572,0.35585440797527945
126.41178159999998,6755.000391,4572,0.39225586271122515
134.7372439,6763.5459280000005,4572,0.4180897791043178
143.0626841,6770.593236,4572,0.44392362692109216
151.3880801,6774.644084999999,4572,0.46975733758523
157.8216112,6796.116246,4572,0.4897205899021327
168.0394025,6818.703287,4572,0.5214264047451437
176.36499730000003,6836.238201,4572,0.5472607322858458
184.69072480000003,6862.762490000001,4572,0.5730954715947575
193.0164081,6886.2903209999995,4572,0.5989300737510326
201.34217969999997,6915.811068999999,4572,0.6247649499022805
209.8841869,6944.853308,4572,0.6512708052989227
217.9937673,6977.849023999999,4572,0.6764348399780133
226.3194284,6999.878625,4572,0.7022693732476701
234.6453548,7039.886979000001,4572,0.7281047297434461
242.9711486,7070.9059560000005,4572,0.7539396747813124
251.2970528,7109.416081,4572,0.77977496239047
258.3615173,7146.222819,4572,0.8016960015686753
267.9489497,7192.429247,4572,0.8314458122243583
276.27487599999995,7232.4376010000005,4572,0.8572811684098339
284.60078030000005,7270.947725,4572,0.8831164563292919
292.9267508,7313.952537,4572,0.908951949667404
301.2527214,7356.95735,4572,0.9347874433158164
308.99016639999996,7409.088856,4572,0.9587967415413519
317.90472880000004,7447.461662999999,4572,0.9864586360312961
326.2307214,7491.964704999999,4572,1.0122941979457265
334.55658139999997,7527.478370000001,4572,1.0381293484022476
342.88246360000005,7564.490265,4572,1.0639645677453873
350.4514333,7597.184023999999,4572,1.087451086975875
364.07561410000005,7658.429956,4572,1.1297269312508023
372.4014742,7693.943622,4572,1.1555620820176231
380.72726800000004,7724.9625989999995,4572,1.1813970270554897
389.0529954,7751.486889,4572,1.2072317660541012
397.37883339999996,7785.502325,4572,1.2330668482446039
405.7044062,7801.539009,4572,1.258901107519288
414.0301557,7829.561528,4572,1.2847359150942177
422.3557506,7847.096441,4572,1.31057024294522
426.89702639999996,7859.521195,4572,1.3246618255033649
2.0600172580000002,7551.206684999999,4572,0.00639223525299008
2.030580068,5592.8569210000005,7620,0.0065572498774361596
15.89213538,5417.388214,7620,0.05131967185876261
24.21624973,5334.54176,7620,0.07820031481467588
32.54051876,5262.182911,7620,0.10508145727091765
46.91902662,5152.454143999999,7620,0.15151324806238514
55.24356082,5098.0740479999995,7620,0.17839524681874405
63.5682939,5057.178016,7620,0.20527788780826386
71.89307117,5019.278443,7620,0.23216067149832362
80.21806942,4996.3611630000005,7620,0.25904416878796055
88.54302347,4970.447425,7620,0.285927523344765
96.86799962,4946.031916,7620,0.31281094926798575
105.1931747,4935.100471,7620,0.3396950175858299
113.51848229999999,4933.158402,7620,0.36657951384383125
119.95167450000001,4931.6577130000005,7620,0.3873538971984961
130.1694511,4953.245935,7620,0.42034964822249365
138.4949355,4963.289702,7620,0.4472347154118248
146.82061869999998,4986.817532,7620,0.4741204245759769
155.14625780000003,5007.3489039999995,7620,0.5010059913302217
163.4720295,5036.869652,7620,0.5278919862829636
171.797779,5064.892171,7620,0.5547779095463644
180.12357649999998,5096.160854,7620,0.5816639878137461
188.4494108,5129.926585,7620,0.6085501849175132
196.77531499999998,5168.4367090000005,7620,0.6354366077458274
205.101153,5202.452145,7620,0.6623228167978182
213.42716769999996,5248.453417000001,7620,0.6892095964582134
221.75311609999997,5289.96,7620,0.7160961620193602
230.07895409999998,5323.975436,7620,0.7429823710713508
238.85905879999999,5368.672193,7620,0.7713355206837461
246.7309173,5411.48329,7620,0.7967557166158179
255.05695409999998,5458.982790999999,7620,0.8236425676426296
263.3830351,5509.47875,7620,0.8505295614022735
271.7091383,5561.472939,7620,0.8774166268512588
280.0351088,5604.477750999999,7620,0.9043032637788218
288.3613445,5665.461316,7620,0.9311907571033792
297.94897579999997,5725.151808,7620,0.9621516116678337
305.0135066,5766.453235,7620,0.9849647449455924
313.3397865,5830.433258,7620,1.0118523810029822
321.6658233,5877.932759,7620,1.038739232029794
329.99197069999997,5932.923406,7620,1.0656264402116113
338.3180959,5986.415824000001,7620,1.0925135767040879
346.6442929,6044.777486999999,7620,1.1194009450566857
354.9704347,6099.393577000001,7620,1.1462881351547056
363.2964716,6146.893078,7620,1.1731749865044423
371.62250839999996,6194.392579,7620,1.2000618375312537
379.9485673,6243.390308,7620,1.2269487599244815
386.76070669999996,6277.330782999999,7620,1.2489468583741152
398.87128989999997,6345.350801,7620,1.288054954358775
407.19712789999994,6379.3662380000005,7620,1.3149411634107653
415.5230542,6419.374591,7620,1.341827657605496
421.9566221,6443.343801,7620,1.3626032541892366
435.2023357,6501.681551,7620,1.4053769695668832
443.5281074,6531.2022990000005,7620,1.4322629645196252
457.1618999,6560.5461700000005,7620,1.476289883530836
5.299722859,3807.946346,10668,0.017872141598532808
16.62396708,3721.216021,10668,0.056060647223950995
