Altitude (m),Mach Number,Thrust (N)
10999.9272,0.71610181,2295.722741
10999.9272,0.732728694,2299.55748
10999.9272,0.744065417,2299.752467
10999.9272,0.769005692,2306.096037
10999.9272,0.786656581,2306.991085
12192,0.315333129,1796.734348
12192,0.338255053,1785.29938
12192,0.35185912,1785.533364
12192,0.372350334,1772.873668
12192,0.388137771,1773.145205
12192,0.404764965,1773.431185
12192,0.420636377,1773.704167
12192,0.434995848,1778.288522
12192,0.45464541,1787.301244
12192,0.471272604,1787.587225
12192,0.494700696,1801.002314
12192,0.515408314,1810.466972
12192,0.531732545,1818.200147
12192,0.548358912,1827.949485
12192,0.558939854,1828.131473
12192,0.577833256,1841.468568
12192,0.598994003,1854.84466
12192,0.620910531,1868.233752
12192,0.638832539,1877.836386
12192,0.651644321,1883.943186
12192,0.67078984,1895.115927
12192,0.687416465,1901.907966
12192,0.705554654,1908.726004
12192,0.719914503,1908.972987
12192,0.753923536,1922.570064
12192,0.77055073,1922.856045
12192,0.787177924,1923.142025
12192,0.798514648,1923.337012
13716,0.396877427,1421.967838
13716,0.417795491,1417.773372
13716,0.435028049,1409.611875
13716,0.449387898,1409.858859
13716,0.474328689,1410.28783
13716,0.490955625,1413.531109
13716,0.507581941,1423.871908
13716,0.524209135,1424.157888
13716,0.540836329,1424.443869
13716,0.557463471,1425.321309
13716,0.574089735,1436.253567
13716,0.590716774,1438.313928
13716,0.606000356,1438.576799
13716,0.624574764,1450.607193
13716,0.640597219,1452.183986
13716,0.657224413,1452.469967
13716,0.673851607,1452.755948
13716,0.690478801,1453.041928
13716,0.706098287,1453.310577
13716,0.735825694,1453.821875
13716,0.752452888,1454.107856
13716,0.769080721,1447.074521
13716,0.785708412,1441.6677
13716,0.807175074,1432.277815
